objectid,fid_blockg,statefp10,countyfp10,tractce10,blkgrpce10,geoid10,namelsad10,mtfcc10,funcstat10,aland10,awater10,intptlat10,intptlon10,shape_leng,fid_neighb,pghdb_sde_neighborhood_2010_area,perimeter,neighbor,neighbor_i,hood,hood_no,acres,sqmiles,dpwdiv,unique_id,sectors,shape_le_1,shape_ar_1,page_number,plannerassign,globalid,created_user,created_date,last_edited_user,last_edited_date,temp,shape_area,shape_length
1,233,42,003,140500,3,420031405003,Block Group 3,G5030,S,172851,0,+40.4523867,-079.9073195,6787.52765016,71,7968760,136797.97928478,48,2130,Point Breeze North,64,183.781,0.286,2,113,11,13891.8733483,7968760.14936,15,Ose Akinlotan,a642a6b6-a2a9-48d5-acf2-3e2ce87d4bc0,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:13,,8153647.19061279,14047.0650239848
2,203,42,003,140100,3,420031401003,Block Group 3,G5030,S,291302,0,+40.4427301,-079.9435821,8071.73494198,66,34078712,136797.97928478,55,2137,Squirrel Hill North,76,785.948,1.222,3,57,10,30343.6510759,34078713.1892,15,Ose Akinlotan,20d4605b-258e-441a-a57e-a28fdabb6d30,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:41,,34077387.7753296,30347.8868232856
3,86,42,003,101700,2,420031017002,Block Group 2,G5030,S,217979,0,+40.4672423,-079.9433700,6586.68365832,39,12751163,136797.97928478,18,2100,Garfield,35,294.077,0.457,2,113,12,14574.3266866,12751163.3098,15,Ose Akinlotan,bf4065e7-c29c-48bd-b529-e7fd99077238,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:55,,12751161.0683594,14577.4415712318
4,214,42,003,050900,1,420030509001,Block Group 1,G5030,S,462660,4114,+40.4512373,-079.9745804,14216.9644036,68,4997335.5,136797.97928478,47,2129,Bedford Dwellings,7,115.252,0.179,3,81,15,14192.7382254,4997335.34975,15,Ose Akinlotan,fed3fb32-0cd3-4556-aa41-17ee03b4fe41,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:58:41,,4997845.08197021,14216.9592134957
5,173,42,003,300100,5,420033001005,Block Group 5,G5030,S,121963,0,+40.4109357,-079.9931744,5583.46861301,59,8411048,198927.41614216,85,2167,Knoxville,44,193.982,0.302,4,81,6,12000.7618324,8411048.34192,15,Thomas Scharff,8669d2f0-b886-4519-99d0-bb1015b592b0,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:19,,8410563.08865356,12003.2697609296
6,286,42,003,130400,3,420031304003,Block Group 3,G5030,S,115917,0,+40.4496890,-079.8859784,6090.01400698,75,11104194,136797.97928478,45,2127,Homewood South,42,256.093,0.398,2,24,11,16565.7535005,11104193.7803,15,Ose Akinlotan,fa665cfe-97d0-4827-a202-3bca7d917a22,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:15,,10913137.5999146,16284.901804906
7,348,42,003,050100,3,420030501003,Block Group 3,G5030,S,308316,0,+40.4459724,-079.9776953,7994.23136392,84,8503223,136797.97928478,53,2135,Middle Hill,51,196.108,0.305,3,25,15,14505.0915831,8503222.96244,15,Ose Akinlotan,ab7c6002-5eb8-40fb-871f-51c8acf71402,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:38,,8515980.6762085,14512.9631477201
8,313,42,003,562800,2,420035628002,Block Group 2,G5030,S,653726,0,+40.4269246,-080.0658036,15834.2769921,79,7024962,198927.41614216,71,2153,Oakwood,59,162.015,0.252,5,113,4,15925.7361124,7024961.87774,15,Thomas Scharff,253b724f-3c9d-4439-bf93-d912897f468c,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:57,,7024714.7194519,15918.4792316375
9,1,42,003,040400,1,420030404001,Block Group 1,G5030,S,75472,0,+40.4458408,-079.9483932,3813.62098852,2,13904629,136797.97928478,41,2123,North Oakland,56,320.679,0.499,3,25,14,20941.386025,13904629.0582,15,Ose Akinlotan,773a7ef1-47aa-4f7d-9947-486b11bf5c0c,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:50,,13904691.366272,20945.5625696197
10,77,42,003,191100,2,420031911002,Block Group 2,G5030,S,884630,0,+40.4386014,-080.0260996,13787.4250385,36,17364276,198927.41614216,61,2143,Duquesne Heights,25,400.468,0.623,5,57,6,19320.4070461,17364275.0587,15,Thomas Scharff,0edad5c4-6965-4f7d-9055-a976593c7c25,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:27,,17361817.9018555,19324.7210219981
11,96,42,003,562300,2,420035623002,Block Group 2,G5030,S,1197940,275741,+40.4050484,-079.9308344,18931.4939549,91,12713036,136797.97928478,90,2172,Glen Hazel,36,293.197,0.456,3,6,9,18931.702384,12713035.8578,15,Ose Akinlotan,ed73b2d5-7175-417f-9750-1dccb6473843,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:58,,12712922.3140869,18931.3705796179
